abstract,lead_paragraph,headline,keywords,pub_date,document_type,section_name
"In some places, educated young people are desperate for steady employment in the world’s most populous nation. In others, factory owners struggle to retain workers.","The grubby lanes of Musallahpur, in the north Indian city of Patna, heave with the foot traffic, banners and vending carts familiar to commercial hubs across India. Here, though, the cacophony is directed toward a single goal: helping young people land a government job.","{'main': 'Want One of India’s Best Jobs? You and 1,800 Other Applicants.', 'kicker': None, 'content_kicker': None, 'print_headline': 'In India, Desperation As Best Jobs Draw Horde', 'name': None, 'seo': None, 'sub': None}","['Labor and Jobs', 'Youth', 'Government Employees', 'Tests and Examinations', 'Factories and Manufacturing', 'Population', 'Bihar (India)', 'Tamil Nadu (India)', 'vis-photo']",2023-06-28T09:01:26+0000,article,World
Fire Island or Provincetown? Not exactly. We asked L.G.B.T.Q. people in four queer-friendly enclaves what they love about their communities and why they’re worth a visit.,"A wave of legislation targeting L.G.B.T.Q. people has swept conservative-led statehouses since 2021, when Arkansas passed a law banning hormone therapy and puberty blockers for transgender youths under 18. So far this year, according to the advocacy group Human Rights Campaign, more than 500 bills have been introduced in such places as Arizona, Oklahoma and South Carolina.","{'main': 'Red States, Rainbow Towns', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Arkansas', 'Arizona', 'South Carolina', 'Oklahoma', 'Homosexuality and Bisexuality', 'Transgender', 'Travel and Vacations', 'Drag (Performance)']",2023-06-28T09:01:30+0000,article,Travel
"Outside the men’s wear shows in Milan and Paris, almost everything seemed possible when it came to getting dressed.","It’s not a stretch to say that men’s wear has long been seen by many as simpler and less creative than women’s wear. But as more men have found ways to personalize even the most traditional staples, they have shown that there are far wider possibilities than once thought.","{'main': 'Deconstructing Men’s Dress Codes', 'kicker': 'Style Outside', 'content_kicker': None, 'print_headline': 'Basic Men’s Wear, Deconstructed', 'name': None, 'seo': None, 'sub': None}","[""Men's Fashion Week"", 'Milan Fashion Week', 'Paris Fashion Week', 'Fashion and Apparel', 'vis-photo']",2023-06-28T09:02:05+0000,article,Style
"Women in the industry are speaking out about what they feel are cancellations motivated by their appearance rather than sound, even as there is a belief that pregnancy and childbirth have positive effects on the voice.","“It’s adjustable, yes?” Standing in a dressing room in the opera house in Montpellier, France, in May, the soprano Maya Kherani tugged at the waistband of her tiered skirt. A draper kneeling behind her shook out the hem while the costume designer looked on with satisfaction.","{'main': 'What Opera Singers Gained, and Lost, Performing While Pregnant', 'kicker': None, 'content_kicker': None, 'print_headline': 'Pregnant Opera Singers Perform a Delicate Dance', 'name': None, 'seo': None, 'sub': None}","['Opera', 'Classical Music', 'Pregnancy and Childbirth', 'Parenting', 'Women and Girls', 'Discrimination', 'Careers and Professions', 'Labor and Jobs']",2023-06-28T09:02:05+0000,article,Arts
"British merchants are increasingly using the technology to combat shoplifting, raising questions about its spread as artificial intelligence rapidly improves it.","Simon Mackenzie, a security officer at the discount retailer QD Stores outside London, was short of breath. He had just chased after three shoplifters who had taken off with several packages of laundry soap. Before the police arrived, he sat at a back-room desk to do something important: Capture the culprits’ faces.","{'main': 'Barred From Grocery Stores by Facial Recognition', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Great Britain', 'Shoplifting and Employee Theft (Retail)', 'Facial Recognition Software', 'Artificial Intelligence', 'Facewatch', 'Computer Vision', 'Cameras', 'Privacy', 'Supermarkets and Grocery Stores', 'Shopping and Retail']",2023-06-28T09:02:05+0000,article,Technology
"In lawsuits challenging state abortion bans, lawyers for abortion rights plaintiffs are employing religious liberty arguments the Christian right has used for decades.","For years, conservative Christians have used the principle of religious freedom to prevail in legal battles on issues like contraceptive insurance mandates and pandemic restrictions. Now, abortion rights supporters are employing that argument to challenge one of the right’s most prized accomplishments: state bans on abortion.","{'main': 'Religious Freedom Arguments Underpin Wave of Challenges to Abortion Bans', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['your-feed-science', 'Abortion', 'Freedom of Religion', 'Religion and Belief', 'Christians and Christianity', 'Suits and Litigation (Civil)', 'Jews and Judaism', 'Religion-State Relations', 'Mifeprex (RU-486)', 'Abortion Drugs', 'Satanic Temple', 'Indiana', 'your-feed-healthcare']",2023-06-28T09:12:48+0000,article,Health
Scientists knew the planet’s centerline could move. But it took a sharp turn sometime around the start of the 2000s.,"Around the turn of the millennium, Earth’s spin started going off-kilter, and nobody could quite say why.","{'main': 'Something Was Messing With Earth’s Axis. The Answer Has to Do With Us.', 'kicker': None, 'content_kicker': None, 'print_headline': 'The Earth’s Axis Is Shifting, and We’re the Reason', 'name': None, 'seo': None, 'sub': None}","['Earth', 'Water', 'Aquifers', 'Glaciers', 'North Pole', 'Global Warming', 'Research', 'Geophysical Research Letters (Journal)']",2023-06-28T09:13:26+0000,article,Climate
A new law pre-empting local labor rules is part of an effort by Republicans in the Capitol to exert control over the state’s Democratic-led major cities.,Follow our live coverage as brutal heat and humidity engulfs the U.S.,"{'main': 'In Battle Over Direction of Texas, an Unlikely Casualty: Water Breaks', 'kicker': None, 'content_kicker': None, 'print_headline': 'In Texas, Power Battle May Wipe Out Water Breaks', 'name': None, 'seo': None, 'sub': None}","['Texas', 'State Legislatures', 'Republican Party', 'Law and Legislation', 'Labor and Jobs', 'Heat and Heat Waves', 'Regulation and Deregulation of Industry', 'Small Business', 'Workplace Hazards and Violations', 'Building (Construction)', 'Austin (Tex)', 'Dallas (Tex)', 'Local Government']",2023-06-28T09:16:43+0000,article,U.S.
"It’s a strategy, and it works.",Donald Trump can lay claim to the title of most prodigious liar in the history of the presidency. This challenges commonplace beliefs about the American political system. How could such a deceitful and duplicitous figure win the White House in the first place and then retain the loyalty of so many voters after his endless lies were exposed?,"{'main': 'This Is Why Trump Lies Like There’s No Tomorrow', 'kicker': 'Guest Essay', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Presidential Election of 2024', 'United States Politics and Government', 'Storming of the US Capitol (Jan, 2021)', 'Polls and Public Opinion', 'Presidential Election of 2020', 'Right-Wing Extremism and Alt-Right', 'Trump, Donald J', 'internal-sub-only']",2023-06-28T09:18:03+0000,article,Opinion
"A new addition to the cast for Season 2, the actress plays Chef Carmy’s love interest — “a human woman,” she said, “not just this sweet, sweet girl.”","On a recent Monday afternoon, the actress Molly Gordon ambled through Manhattan’s SoHo neighborhood. Gordon, a wry and sprightly presence in movies like “Booksmart,” “Good Boys” and “Shiva Baby,” wore chunky sneakers, a schoolgirl skirt and sunglasses that made her look like a cat with an active Vogue subscription.","{'main': 'In ‘The Bear,’ Molly Gordon Is More Than the Girl Next Door', 'kicker': None, 'content_kicker': None, 'print_headline': 'More Than the Girl Next Door', 'name': None, 'seo': None, 'sub': None}","['Television', 'The Bear (TV Program)', 'Gordon, Molly (1995- )', 'Actors and Actresses', 'Content Type: Personal Profile']",2023-06-28T09:18:30+0000,article,Arts
"The ongoing outbreak of fires in Canada is sending new waves of smoke into the American Midwest, and the pollution has been seen as far away as Europe.",Follow our live updates on the wildfires and air quality. ,"{'main': 'What to Know About Canadian Wildfires and U.S. Air Quality', 'kicker': None, 'content_kicker': None, 'print_headline': 'Air Quality In the U.S. Is Worsening With Smoke', 'name': None, 'seo': None, 'sub': None}","['Wildfires', 'Air Pollution', 'Global Warming', 'Environment Canada', 'Canada', 'Chicago (Ill)', 'Europe', 'United States']",2023-06-28T09:20:20+0000,article,World
"Temperatures will be up to 20 degrees above normal for much of the region through at least the weekend, with no nighttime relief.",Follow our live coverage as brutal heat and humidity engulfs the U.S.,"{'main': 'Misery Engulfs the South as Heat Wave Spreads', 'kicker': None, 'content_kicker': None, 'print_headline': 'Misery Engulfs the South As Oppressive Heat Spreads ', 'name': None, 'seo': None, 'sub': None}","['Heat and Heat Waves', 'Weather', 'States (US)', 'Alabama', 'Arizona', 'Arkansas', 'California', 'Florida', 'United States', 'Texas', 'Georgia', 'Tennessee', 'Fort Worth (Tex)', 'Gulf Coast (US)', 'Jackson (Miss)', 'Montgomery (Ala)']",2023-06-28T09:29:13+0000,article,U.S.
"Exclusively from New York Times Audio, our new app.","The New York Times Audio app is home to journalism and storytelling, and provides news, depth and serendipity. If you haven’t already, download it here — available to Times news subscribers on iOS — and sign up for our weekly newsletter.","{'main': 'Today’s Top News: The Supreme Court Rules in a Major Election Law Case, and More', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Supreme Court (US)', 'Elections', 'Decisions and Verdicts', 'Lukashenko, Aleksandr G', 'Russia', 'Wagner Group', 'Wheel of Fortune (TV Program)']",2023-06-28T09:40:40+0000,article,Podcasts
"Houses of worship are, uniquely, one-stop shops of meaning, continuity and support.","This is the fifth and final newsletter in a series about Americans moving away from religion. Read part one, part two, part three and part four.","{'main': 'What Churches Offer That ‘Nones’ Still Long For', 'kicker': 'Jessica Grose', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Religion and Belief', 'Places of Worship', 'Atheism', 'Loneliness', 'Social Conditions and Trends', 'United States', 'internal-sub-only-nl']",2023-06-28T10:00:04+0000,article,Opinion
Teachers and students on how ChatGPT is changing education.,"Since its introduction less than a year ago, ChatGPT, the artificial intelligence platform that can write essays, solve math problems and write computer code, has sparked an anguished debate in the world of education. Is it a useful research tool or an irresistible license to cheat?","{'main': 'Suspicion, Cheating and Bans: A.I. Hits America’s Schools', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['audio-neutral-informative', 'Education (K-12)', 'Artificial Intelligence', 'Cheating', 'OpenAI Labs']",2023-06-28T10:00:24+0000,article,Podcasts
"An American man’s rowboat had capsized in the Pacific. Low on battery, he put out a call for help.","After his 23-foot rowboat lost battery power in mid-May as he tried to circle the globe, Aaron Carotta spent more than a month at the mercy of ocean currents that pulled him across the Pacific.","{'main': '‘A Sight for Sore Eyes’: How One Man’s Ocean Rescue Unfolded', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Rescues', 'Maritime Accidents and Safety', 'Oceans and Seas', 'Rowing', 'Starlink Satellite Constellation (SpaceX)', 'United States Coast Guard', 'French Polynesia (France)', 'Hawaii', 'Galapagos Islands', 'Tahiti']",2023-06-28T10:29:13+0000,article,U.S.
A bipartisan Supreme Court majority preserved democratic checks and balances.,"Yesterday, the Supreme Court took a step in a high-profile case to preserve democratic checks and balances.","{'main': 'Conservative Court, Moderate Decision', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['internal-storyline-no', 'Decisions and Verdicts', 'Supreme Court (US)']",2023-06-28T10:39:18+0000,article,Briefing
The Minnesota Twins could join the ignominious list of postseason teams with losing records. But that’s nothing compared to what’s happening in the U.S.F.L.,"For the first time in an ordinary Major League Baseball season, a team with a losing record could make the playoffs.","{'main': 'Losing Their Way to the Playoffs', 'kicker': None, 'content_kicker': None, 'print_headline': 'Mired in Mediocrity, With a Shot at the Title', 'name': None, 'seo': None, 'sub': None}","['Baseball', 'Minnesota Twins', 'Football', 'United States Football League']",2023-06-28T11:00:15+0000,article,Sports
"Stephan Kijak’s new documentary seems keenly interested in the ways in which the closeted actor’s sexuality manifested itself, largely unintentionally, in his movies.","“Rock Hudson’s Home Movies,” the director Mark Rappaport’s landmark 1992 video essay about the life and death of the famous gay actor, is a playful, provocative and singular meditation on celebrity, homosexuality and the nature of truth onscreen. Through a combination of archival footage from Hudson’s filmography and invented narration by an actor playing Hudson, the movie offers a speculative, pseudobiographical portrait of Hudson’s innermost thoughts, using what we know about him now to imagine what he might have been thinking then.","{'main': '‘Rock Hudson: All That Heaven Allowed’ Review: Living a Double Life', 'kicker': None, 'content_kicker': None, 'print_headline': ' A Star’s Dual Life, Doubly Complex', 'name': None, 'seo': None, 'sub': None}","['Documentary Films and Programs', 'Hudson, Rock', 'Homosexuality and Bisexuality', 'Kijak, Stephen', 'Rock Hudson: All That Heaven Allowed (Movie)', 'Actors and Actresses']",2023-06-28T11:00:15+0000,article,Movies
The shooting of a teenage driver in a suburb of Paris fed into longstanding complaints about the French police. Protesters burned cars and clashed with riot officers.,"In a working class Paris suburb, two police officers confront a 17-year-old driver in a canary yellow Mercedes who was stopped in traffic. They shout at him, video footage shows, and one officer appears to have his gun drawn. The teenager is then fatally shot in broad daylight.","{'main': 'Protests and Sorrow After Fatal Police Traffic Encounter in France', 'kicker': None, 'content_kicker': None, 'print_headline': 'French Police Kill Teen Driver During Traffic Stop, Igniting Protests', 'name': None, 'seo': None, 'sub': None}","['Nanterre (France)', 'Police Brutality, Misconduct and Shootings', 'Murders, Attempted Murders and Homicides', 'Demonstrations, Protests and Riots', 'Macron, Emmanuel (1977- )', 'France', 'Paris (France)', 'vis-video']",2023-06-28T11:16:26+0000,article,World
"The former president, who was found liable for sexually abusing Ms. Carroll, argued that she should not have said he raped her.","Former President Donald J. Trump, who has been found liable for sexually abusing and defaming the writer E. Jean Carroll, has countersued, accusing her of defaming him in turn by repeating her contention that he had raped her.","{'main': 'Trump Countersues E. Jean Carroll, Claiming She Defamed Him This Time', 'kicker': None, 'content_kicker': None, 'print_headline': 'Trump Countersues Carroll, Claiming That She Defamed Him This Time', 'name': None, 'seo': None, 'sub': None}","['CARROLL, E JEAN', 'Trump, Donald J', 'Libel and Slander', 'Sex Crimes', 'Suits and Litigation (Civil)', 'Decisions and Verdicts']",2023-06-28T11:35:26+0000,article,New York
Shares in the semiconductor giants Nvidia and AMD fell on a report that the Biden Administration is weighing new restrictions on A.I.-related exports.,"Shares in high-flying chipmakers like Nvidia and AMD were down in premarket trading today, after The Wall Street Journal reported that the Biden administration is weighing new restrictions on exporting artificial intelligence-related semiconductors to China.","{'main': 'The A.I. Chips War Could Heat Up This Summer', 'kicker': 'DealBook Newsletter', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['internal-storyline-no', 'Artificial Intelligence', 'International Trade and World Market', 'Advanced Micro Devices Inc.', 'NVIDIA Corporation', 'Commerce Department', 'Treasury Department', 'Yellen, Janet L', 'Chinese Academy of Sciences', 'Micron Technology Inc', 'United States Chamber of Commerce', 'China']",2023-06-28T11:40:48+0000,article,Business Day
"The Ria Lounge eatery, known to many as Ria Pizza, was a long-running haunt popular with Ukrainian soldiers, foreign journalists and aid workers.","KRAMATORSK, Ukraine — Rescuers were combing through the rubble in Kramatorsk on Wednesday as the death toll from a Russian missile strike on a popular restaurant in the eastern Ukrainian city climbed.","{'main': 'As rescuers sift through the rubble of a Kramatorsk restaurant, distraught relatives wait for news.', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Russian Invasion of Ukraine (2022)', 'Kramatorsk (Ukraine)', 'Ukraine', 'Missiles and Missile Defense Systems', 'Disasters and Emergencies', 'Russia']",2023-06-28T11:42:29+0000,article,World
"A splendid Sarah Snook battles weak plotting in this atmospheric, derivative ghost story.","Buried trauma and resurrected guilt get quite the workout in Daina Reid’s “Run Rabbit Run,” a ludicrous Australian psychodrama that forces the fabulous Sarah Snook to interact with a creepy bunny.","{'main': '‘Run Rabbit Run’ Review: No Child of Mine', 'kicker': None, 'content_kicker': None, 'print_headline': 'Run Rabbit Run', 'name': None, 'seo': None, 'sub': None}","['Movies', 'Snook, Sarah', 'Run Rabbit Run (Movie)', 'Reid, Daina']",2023-06-28T11:45:40+0000,article,Movies
The company said the option would give couriers greater choice. It could also help DoorDash find people who will make less desirable deliveries.,"DoorDash said on Wednesday that it would begin giving its delivery drivers the option to be paid an hourly minimum wage, instead of earning money for each delivery.","{'main': 'DoorDash, Shifting Business Model, Will Offer Drivers Hourly Pay', 'kicker': None, 'content_kicker': None, 'print_headline': 'Shifting Its Business Model, DoorDash Says It Will Let Drivers Opt for Hourly Pay', 'name': None, 'seo': None, 'sub': None}","['DoorDash (Mobile App)', 'Delivery Services', 'Wages and Salaries', 'Freelancing, Self-Employment and Independent Contracting', 'Computers and the Internet']",2023-06-28T12:00:11+0000,article,Business Day
The actor faces 12 charges related to incidents that prosecutors say involved four men and occurred between 2001 and 2013.,"Kevin Spacey, the two-time Academy Award-winning actor, appeared briefly on Wednesday in a London courtroom for the first day of a trial on multiple charges of sexual assault.","{'main': 'Kevin Spacey Begins Trial on Sexual Assault Accusations', 'kicker': None, 'content_kicker': None, 'print_headline': 'Assault Trial Begins for Spacey', 'name': None, 'seo': None, 'sub': None}","['Sex Crimes', 'Actors and Actresses', 'Spacey, Kevin']",2023-06-28T13:00:00+0000,article,Movies
"After getting an initial thumbs up that may have been in jest, a reader wonders how to make a sensitive request that is more likely to be taken seriously.","My wife and I are women in our early 30s, and we would like to have a baby soon. One of my best friends has a very handsome husband. I mentioned to her that we would like to conceive our baby using his sperm. She seemed to agree — but did so as if in jest. What is the best way to broach this subject again, but more seriously this time? Should we ask in person because of the intimate nature of the request? Or should we write an email, so they have time to process and respond without pressure?","{'main': 'How Do I Ask a Close Friend’s Husband to Be Our Sperm Donor?', 'kicker': 'Social Q’s', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Customs, Etiquette and Manners', 'Content Type: Service']",2023-06-28T13:00:03+0000,article,Style
"An abrupt shift from cooler-than-average temperatures to triple digits in the state will increase the risk of heat-related illnesses, experts say.",California is in for a heat wave.,"{'main': 'Heat Wave Is Expected to Bake California This Weekend', 'kicker': 'California today', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",['California'],2023-06-28T13:00:13+0000,article,U.S.
The Theater Development Fund’s departing director reflects on two decades of work expanding access to theater and the paths that lie ahead for Broadway.,"When Victoria Bailey assumed the leadership of the nonprofit Theater Development Fund in 2001, she was told that the organization’s marquee program, the TKTS discount ticket booth, had not missed a day in nearly three decades of operation.","{'main': 'Victoria Bailey Wants Audiences to Get Bigger, and Broader', 'kicker': 'Exit Interview', 'content_kicker': None, 'print_headline': ' She’s Sold on Making Theater More Accessible', 'name': None, 'seo': None, 'sub': None}","['Content Type: Personal Profile', 'Theater', 'Theater Development Fund', 'TKTS Booth (NYC)', 'Bailey, Victoria']",2023-06-28T13:00:18+0000,article,Theater
"Lynsey Addario, a photojournalist, noticed a boy idling in a town near the front line in Ukraine. Then she spent more than a week living with his family.","In her 20 years of working as a photojournalist, Lynsey Addario has covered war and conflict in Afghanistan, Iraq, South Sudan, Congo, Yemen and Libya. To her, the most important moments to document are often away from the fighting — “the nuances that happen in the emptiness and the silence,” she said in a recent interview.","{'main': 'In a Young Face, the Price of War', 'kicker': 'Times Insider', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Photography', 'Russian Invasion of Ukraine (2022)', 'Magazines', 'News and News Media', 'ADDARIO, LYNSEY', 'Schwirtz, Michael', 'Donbas (Ukraine)', 'Ukraine']",2023-06-28T14:00:09+0000,article,Times Insider
The Aquidaban has long attracted colorful characters as the only ferry in one of South America’s most remote stretches. Now it may disappear.,"Up the wooden gangplank in a single-file line, nearly an entire Indigenous village squeezed onto the Aquidaban’s front deck. The Tomárahos had taken the boat downriver to vote in Paraguay’s national elections, and then had slept outside for four days, waiting for the Aquidaban to take them home.","{'main': 'Welcome Aboard the Aquidaban, the Floating Jungle Supermarket', 'kicker': None, 'content_kicker': None, 'print_headline': 'Paraguay’s 500-Mile Ferryboat May Be Making Its Final Runs', 'name': None, 'seo': None, 'sub': None}","['Paraguay', 'Pantanal (Brazil)', 'Ferries', 'Indigenous People', 'Missionaries', 'Mormons (Church of Jesus Christ of Latter-Day Saints)', 'internal-sub-only', 'vis-photo']",2023-06-28T14:00:38+0000,article,World
"Mr. Penny, a Marine veteran, is accused of fatally choking a homeless man, Jordan Neely, on an F train last month.","The Marine veteran whose choking of a homeless man crystallized New York City’s challenges with homelessness, mental health and violence in its subways pleaded not guilty on Wednesday to manslaughter and criminally negligent homicide.","{'main': 'Daniel Penny Pleads Not Guilty to Manslaughter Charge in Subway Killing', 'kicker': None, 'content_kicker': None, 'print_headline': 'Marine Pleads Not Guilty to Charges in Subway Killing', 'name': None, 'seo': None, 'sub': None}","['Murders, Attempted Murders and Homicides', 'Subways', 'Homeless Persons', 'Neely, Jordan (d 2023)', 'Penny, Daniel J', 'New York City']",2023-06-28T14:12:43+0000,article,New York
Human-caused climate change is making high temperatures more common and intensifying the dryness that fuels catastrophic wildfires.,"Follow our live coverage as brutal heat and humidity engulfs the U.S.Between the dangerous heat baking Texas and the Southeast, and the wildfire smoke filling the skies throughout the Upper Midwest and into the Mid-Atlantic, people across a huge part of the United States have been seeking relief from the outside world in recent days.","{'main': 'Wildfire Smoke and High Heat Have Something in Common. Guess What.', 'kicker': None, 'content_kicker': None, 'print_headline': 'Climate Change Is Quickening the Pace for Fires and Heat', 'name': None, 'seo': None, 'sub': None}","['Global Warming', 'Greenhouse Gas Emissions', 'Wildfires', 'Heat and Heat Waves', 'Air Pollution', 'Disasters and Emergencies', 'Texas', 'Canada']",2023-06-28T14:29:39+0000,article,Climate
"Nearly a century after a landmark psychology study was conducted, we revisit its findings — with your help!","Nearly a century after a landmark psychology study was conducted, we revisit its findings — with your help!","{'main': 'Kiki or Bouba?', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Psychology and Psychologists', 'Art', 'vis-design', 'Content Type: Quiz', 'Language and Languages', 'Kohler, Wolfgang', 'internal-sub-only']",2023-06-28T14:30:04+0000,multimedia,Arts
"In this age of reboots and remakes, a magic show seeks “a total invention” even as it deconstructs that desire, showing how rare a truly new work is.",Is originality overrated?,"{'main': 'Is Originality Even a Worthy Ambition Anymore?', 'kicker': 'Critic’s Notebook', 'content_kicker': None, 'print_headline': 'Is Being Original A Worthy  Desire?', 'name': None, 'seo': None, 'sub': None}","['Magic and Magicians', 'Theater', 'Cuiffo, Steve', 'DelGaudio, Derek', 'Hnath, Lucas', 'A Simulacrum (Play)', 'In & of Itself (Play)']",2023-06-28T14:42:00+0000,article,Theater
"Democrats have filled more seats on that level than the Senate had by this point in Donald J. Trump’s presidency, but some progressives want leaders to pick up the pace.","President Biden and Democrats, largely stymied by Republicans from enacting their policy agenda, have transformed the Senate into a judicial confirmation factory that has just passed a major milestone in its drive to remake the federal courts, approving the 100th district court nominee since Mr. Biden took office.","{'main': 'Democrats Reach Milestone: 100 New District Court Judges', 'kicker': None, 'content_kicker': None, 'print_headline': 'Even With 100 New Judges Confirmed, Progressives Want to Pick Up the Pace', 'name': None, 'seo': None, 'sub': None}","['Appointments and Executive Changes', 'United States Politics and Government', 'Courts and the Judiciary', 'Federal Courts (US)', 'Democratic Party', 'Republican Party', 'Senate', 'Biden, Joseph R Jr']",2023-06-28T14:59:55+0000,article,U.S.
Serve with barbecue slathered in one of Steven Raichlen’s three new sauces and Millie Peartree’s sweet-tart Hennessy coladas.,"Hello! Mia here, filling in for Melissa Clark, who’s on vacation. I’ll start with a confession: For most of my life, I was a potato-salad hater. Too much mayonnaise, too many lackluster celery chunks, too much meh. Why smush potatoes into mayo when you could shingle them with cheese or roast them until crispy?","{'main': 'A Potato Salad That Packs a Serious Umami Punch', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Cooking and Cookbooks', 'Content Type: Service']",2023-06-28T15:00:04+0000,article,Food
The giant world Halla should have been swallowed by its star long ago. Scientists now think they know how the planet cheated death.,"All across the Milky Way, dying stars are gobbling up their planets. Even Earth is likely to perish this way about five billion years from now, when the sun expands and devours its innermost worlds.","{'main': 'The ‘Forbidden Planet’ That Escaped a Fiery Doom', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Space and Astronomy', 'Stars and Galaxies', 'Transiting Exoplanet Survey Satellite (Spacecraft)', 'Research', 'Nature (Journal)']",2023-06-28T15:00:12+0000,article,Science
"High-altitude regions will get more extreme rain than previously thought, making floods and landslides more likely, a study finds.","As the climate warms, mountain regions will get more extreme rainfall than previously thought, and more of the dangers that come with it, according to a study published on Wednesday in the journal Nature.","{'main': 'Climate Change Can Turn Snow Into Rain, Raising Risks in Mountain Zones', 'kicker': None, 'content_kicker': None, 'print_headline': 'In New Study, More Rain And Threats Than Thought', 'name': None, 'seo': None, 'sub': None}","['Global Warming', 'Rain', 'Mountains', 'Floods', 'Landslides and Mudslides', 'Snow and Snowstorms', 'Research', 'Nature (Journal)']",2023-06-28T15:01:06+0000,article,Climate
"The clothes on the show often serve as their own plot points, and are more memorable than any dialogue.","And just like that, stealth wealth, the aesthetic made viral by “Succession,” with its toxic billionaires in their Loro Piana baseball caps and Tom Ford hoodies locked in a C-suite cage match to the death, has been swept off screen.","{'main': '‘And Just Like That …’ has an Obsession With Logos', 'kicker': 'unbuttoned', 'content_kicker': None, 'print_headline': 'Hide It or Flaunt It: Two Sides of a Gold Coin', 'name': None, 'seo': None, 'sub': None}","['Fashion and Apparel', 'Luxury Goods and Services', 'Television', 'New York City', 'And Just Like That ... (TV Program)', 'Succession (TV Program)', 'Costumes']",2023-06-28T15:05:10+0000,article,Style
Demonstrators clashed with riot police officers in the Paris suburb of Nanterre after the police fatally shot a 17-year-old driver during a traffic stop.,Demonstrators clashed with riot police officers in the Paris suburb of Nanterre after the police fatally shot a 17-year-old driver during a traffic stop.,"{'main': 'Fatal Police Shooting of Teenager Ignites Protests in France', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Nanterre (France)', 'Police Brutality, Misconduct and Shootings', 'Demonstrations, Protests and Riots', 'France']",2023-06-28T15:08:30+0000,multimedia,World
This book tries to give new answers to a question conservatives have been asking for decades.,"In January of 2018, just a year after Donald Trump assumed the U.S. presidency, the political theorist Patrick Deneen published “Why Liberalism Failed,” an ideally timed argument about how the inner logic of modern liberalism had led to social decay and political misrule.","{'main': 'How Do You Replace an Elite?', 'kicker': 'Ross Douthat', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Conservatism (US Politics)', 'Protestant Churches', 'United States Politics and Government', 'Ivy League', 'Buckley, William F Jr', 'Trump, Donald J', 'United States', 'Deneen, Patrick J', 'Regime Change: Toward a Postliberal Future (Book)']",2023-06-28T15:10:22+0000,article,Opinion
Websites offering up free — and not always legal — music flourished in the gap between the fall of the CD era and the rise of streaming. Keeping those archives intact is proving difficult.,"The hip-hop mixtape website DatPiff had not been a major talking point among enthusiasts for some time, until this past March, when it appeared to be vanishing.","{'main': 'Mixtape Sites Like DatPiff Propelled Rap. Can They Be Preserved?', 'kicker': None, 'content_kicker': None, 'print_headline': 'Preserving Hip-Hop’s Digital History', 'name': None, 'seo': None, 'sub': None}","['Rap and Hip-Hop', 'Music', 'Audio Recordings, Downloads and Streaming', 'Computers and the Internet', 'Internet Archive', 'Archives and Records', 'DatPiff']",2023-06-28T15:15:10+0000,article,Arts
The “Barbie” and “Oppenheimer” movies look very different. But some fans are planning a double feature for their release on July 21.,Barbie is everything. He’s just … Robert Oppenheimer.,"{'main': 'Mark Your Calendars: ‘Barbenheimer’ Is Coming', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Movies', 'Barbie (Doll)', 'T-Shirts (Apparel)', 'Box Office Sales', 'Gerwig, Greta', 'Murphy, Cillian', 'Nolan, Christopher', 'Robbie, Margot', 'Oppenheimer (Movie)']",2023-06-28T15:17:30+0000,article,Movies
